Open|Abrir;
Close|Cerrar;
Cancel|Cancelar;
Back|Atras;
Accept|Aceptar;
Port|Puerto;
Servers|Servidores;
Host|Hostear;
Host Server|Crear partida;
Find Hosts|Encontrar partidas;
Refresh server list|Volver a buscar partidas;
Direct Connect|Conectar directamente;
Max. Players|Jugadores máx;
Server type|Tipo de serv.;
Public|Public;
Private|Private;
Game Name|Nombre de juego;
Game description|Descripcion;
Name field required|Nombre requerido;
Start|Empezar;
Save|Guardar;
Delete|Eliminar;
Connect|Conectar;
Send|Enviar;
SkinEditor|Avatar;
Player Name|Nombre de Jugador;
Password|Contraseña;
Login|Login;
Incorrect User or Password|Nombre de usuario o contraseña incorrectos;
Player options|Opciones de Jugador;
Player|Jugador;
Singleplayer|Monojugador;
Multiplayer|Multijugador;
Journal|Diario;
Inventory|Inventario;
Menu|Menu;
Toogle Fullscreen|Pantalla completa;
Active Missions|Misiones activas;
Completed Missions|Misiones comp.;
Failed Missions|Misiones fallidas;
Anwsers|Respuestas;
Downloading|Descargando;
Loading|Cargando;
Character|Personaje;
Head|Cabeza;
Eyes|Ojos;
Hair|Pelo;
Body|Cuerpo;
Legs|Piernas;
Feet|Pies;
Play|Jugar;
Game 2|Juego 2;
Game 3|Juego 3;
